PRO-40,Wine - Magnotta - Cab Sauv,$563.31
PRO-71,Syrup - Monin - Blue Curacao,$360.23
PRO-72,Crab - Back Fin Meat,$908.88
PRO-41,Chinese Foods - Chicken Wing,$505.50
PRO-42,Mussels - Cultivated,$28.15
PRO-42,Lobster - Tail 6 Oz,$208.17
PRO-76,Juice - Ocean Spray Cranberry,$211.38
PRO-45,Veal - Heart,$563.76
PRO-47,Mushroom - Chantrelle,$48.01
PRO-79,Beef - Outside,$185.66
PRO-18,Guava,$943.60
PRO-18,Wine - Bourgogne 2002,$388.15
PRO-80,Clam Nectar,$541.99
PRO-50,Nestea - Ice Tea,$874.25
PRO-82,Nut - Hazelnut,$292.26
PRO-21,V8 Splash Strawberry Kiwi,$364.72
PRO-21,Rice - Basmati,$756.50
PRO-22,Cheese - Fontina,$93.35
PRO-85,Crab - Soft Shell,$938.01
PRO-23,Pie Filling - Apple,$512.78
PRO-54,Sausage - Meat,$40.39
PRO-54,Wine - White,$180.90
PRO-24,Carbonated Water - Peach,$864.37
PRO-86,Yogurt - Peach,$484.46
PRO-57,Kale - Red,$480.30
PRO-89,Cheese - Pied De Vents,$47.08
PRO-27,Kahlua,$709.44
PRO-28,Pepsi 355 Ml,$848.3
PRO-59,Wine - White Choux,$975.59
PRO-29,Garlic - Peeled,$64.24
PRO-61,Pate Pans Yellow,$493.69
PRO-92,Ezy Change Mophandle,$535.00
PRO-30,Pastry - Banana Muffin - Mini,$850.07
PRO-62,Bread - Focaccia Quarter,$77.64
PRO-93,Beer - Original Organic Lager,$302.72
PRO-93,Pastry - Chocolate Chip Muffin,$549.53
PRO-31,Flower - Commercial Bronze,$356.50
PRO-31,Wine - Red,$919.11
PRO-33,Wine - Magnotta - Red,$282.18
PRO-95,Coriander - Ground,$146.15
PRO-33,Couscous,$521.87
PRO-03,Beans - Butter Lrg Lima,$179.00
PRO-65,Pepper - Cubanelle,$845.71
PRO-04,Tortillas - Flour,$531.76
PRO-04,Island Oasis - Cappucino Mix,$323.19
PRO-97,Wine - Magnotta - Bel Paese White,$425.00
PRO-98,White Fish - Filets,$462.12
PRO-06,V8 Splash Strawberry Kiwi,$539.07
PRO-69,Pop - Club Soda Can,$268.82
PRO-08,Grouper - Fresh,$598.51
